Date,IRD
2025-08-06,11.6640383173261
2025-08-07,11.6649082639286
2025-08-08,11.6657782754148
2025-08-11,11.6683886992248
2025-08-12,11.6692589702947
2025-08-13,11.6701293062726
2025-08-14,11.6709997071633
2025-08-15,11.6718701729716
2025-08-18,11.6744819599512
2025-08-19,11.6753526854787
2025-08-20,11.6762234759481
2025-08-21,11.6770943313643
2025-08-22,11.677965251732
2025-08-25,11.6805784025931
2025-08-26,11.6814495828156
2025-08-27,11.6823208280138
2025-08-28,11.6831921381928
2025-08-29,11.6840635133572
2025-09-01,11.6846776487157
2025-09-02,11.6835454071559
2025-09-03,11.6824132753099
2025-09-04,11.6812812531672
2025-09-05,11.680149340717
2025-09-08,11.6767542614157
2025-09-09,11.6756227876296
2025-09-10,11.674491423483
2025-09-11,11.6733601689651
2025-09-12,11.6722290240655
2025-09-15,11.6688362469697
2025-09-16,11.6677055404367
2025-09-17,11.6665749434688
2025-09-18,11.6654444560553
2025-09-19,11.6643140781858
2025-09-22,11.6609236017342
2025-09-23,11.659793661934
2025-09-24,11.6586638316247
2025-09-25,11.6575341107955
2025-09-26,11.6564044994359
2025-09-29,11.6530163220685
2025-09-30,11.6518871484812
2025-10-01,11.6519319136826
2025-10-02,11.651973827516
2025-10-03,11.6520157415001
2025-10-06,11.6521414843571
2025-10-07,11.6521833989443
2025-10-08,11.6522253136823
2025-10-09,11.6522672285711
2025-10-10,11.6523091436106
2025-10-13,11.6524348896339
2025-10-14,11.6524768052766
2025-10-15,11.65251872107
2025-10-16,11.6525606370142
2025-10-17,11.6526025531092
2025-10-20,11.6527283022988
2025-10-21,11.6527702189969
2025-10-22,11.6528121358458
2025-10-23,11.6528540528454
2025-10-24,11.6528959699959
2025-10-27,11.6530217223519
2025-10-28,11.6530636401055
2025-10-29,11.6531055580098
2025-10-30,11.653147476065
2025-10-31,11.6531893942709
2025-11-03,11.6520285020908
2025-11-04,11.6516413618481
2025-11-05,11.6512542344681
2025-11-06,11.6508671199506
2025-11-07,11.6504800182949
2025-11-10,11.6493187904953
2025-11-11,11.6489317402831
2025-11-12,11.6485447029307
2025-11-13,11.6481576784377
2025-11-14,11.6477706668036
2025-11-17,11.6466097090507
2025-11-18,11.6462227488481
2025-11-19,11.6458358015023
2025-11-20,11.6454488670129
2025-11-21,11.6450619453795
2025-11-24,11.6439012576106
2025-11-25,11.6435143873966
2025-11-26,11.6431275300365
2025-11-27,11.6427406855298
2025-11-28,11.6423538538761
2025-12-01,11.6419958018577
2025-12-02,11.6424116185667
2025-12-03,11.6428274501273
2025-12-04,11.6432432965402
2025-12-05,11.6436591578058
2025-12-08,11.6449068307247
2025-12-09,11.6453227514067
2025-12-10,11.6457386869442
2025-12-11,11.6461546373376
2025-12-12,11.6465706025875
2025-12-15,11.6478185874814
2025-12-16,11.6482346121625
2025-12-17,11.6486506517028
2025-12-18,11.6490667061027
2025-12-19,11.6494827753629
2025-12-22,11.6507310723098
2025-12-23,11.651147201016
2025-12-24,11.6515633445851
2025-12-25,11.6519795030176
2025-12-26,11.652395676314
2025-12-29,11.653644285392
2025-12-30,11.6540605181493
2025-12-31,11.6544767657732
2026-01-01,11.6553966463222
2026-01-02,11.6563133647403
2026-01-05,11.6590639526269
2026-01-06,11.6599809594854
2026-01-07,11.6608980384682
2026-01-08,11.6618151895809
2026-01-09,11.6627324128293
2026-01-12,11.6654845154449
2026-01-13,11.6664020272925
2026-01-14,11.6673196113041
2026-01-15,11.6682372674853
2026-01-16,11.669154995842
2026-01-19,11.6719086140207
2026-01-20,11.6728266311355
